category,claim_id,claim_text,checkworthiness_prob,harm_score,is_viral,peak_engagement,lead_time_hours
HIGH_CONFIDENCE_POSITIVE,c682d41a-4bed-425f-9919-90323c7eab42,10 million from the Chinese for Joe Biden through Hunter Biden,0.7201837420463562,85.0,true,814,1.0
HIGH_CONFIDENCE_POSITIVE,3a53b852-a6aa-473f-81cf-c9be62815e7e,Trump and his enablers are tolerating or even supporting Russian disinformation trying to manipulate the American people.,0.6518497347831727,85.0,true,713,19.0
HIGH_CONFIDENCE_POSITIVE,9dea2d0d-0604-4753-8bde-f9498ee5a2b0,"The moderators were biased because Trump got a question about QAnons but Joe Biden did not get a question about Hunter Biden's Ukraine dealings, making Biden's 16 points ahead also biased.",0.7174807906150819,85.0,true,564,8.0
HIGH_CONFIDENCE_POSITIVE,17139caf-b9a8-406d-91ea-364060686444,die Moderatorin hat mehrfach auf die Unwahrheiten und Lügen von Trump aufmerksam gemacht,0.6611756086349487,80.0,true,394,5.0
HIGH_CONFIDENCE_POSITIVE,80237be1-e2bb-41fc-a7b9-992823792184,"A couple of cars and trucks with a couple of people were at a Biden rally, while more than 100 Trump supporters were protesting.",0.6848511219024658,85.0,true,317,2.0
HIGH_CONFIDENCE_POSITIVE,63ce6483-7ad0-4f18-b179-c77009105eb4,Trump was warned that Giuliani was conveying Russian disinformation.,0.7256529092788697,85.0,true,313,9.0
HIGH_CONFIDENCE_POSITIVE,9a5247a5-79a1-4d0c-aaa6-05c4d53f6645,"If Biden would win, every American earning over $9875 a year will pay higher income tax rates.",0.7172618508338928,85.0,true,297,0.0
HIGH_CONFIDENCE_POSITIVE,fc84606e-120b-43bc-b40a-f5848ed8ba1e,Biden is currently being investigated for selling access to China.,0.7139684915542602,85.0,true,255,3.0
HIGH_CONFIDENCE_POSITIVE,2c81b83e-f156-41aa-a9f9-0d0549028112,Trump is the third POTUS to be impeached; the POTUS who killed the greatest number of Americans; the POTUS who lost the most jobs; likely the POTUS who lost re-election in one of the largest landslides; and the only ex-POTUS to either go to prison or flee the US.,0.7248267292976379,85.0,true,173,3.0
HIGH_CONFIDENCE_POSITIVE,532080b8-fe36-415b-a672-c805a8b1aaa8,Trump refused to say if he had COVID test the day of the debate.,0.7284778118133545,85.0,true,155,16.0
HIGH_CONFIDENCE_POSITIVE,d8894ecc-6541-4081-8397-c16e25b4c515,Trump said that it's a dead cert cure despite not having any of that in his own treatment.,0.7237280964851379,85.0,true,114,18.0
HIGH_CONFIDENCE_POSITIVE,22d151a1-b71d-46c8-af52-ee864760bd60,Joe Biden takes 50% of Hunter Biden’s illicit income.,0.7699422001838685,85.0,true,98,7.0
HIGH_CONFIDENCE_POSITIVE,17d06b9c-a821-4ba5-bf42-7691b7af8000,"Biden thinks that COVID killed 120 million Americans, which is more than one in three Americans.",0.720746374130249,95.0,true,86,9.0
HIGH_CONFIDENCE_POSITIVE,034a85ac-ce99-4879-9ec1-43ca873bab60,"While Trump and his advisors were publicly giving rosy outlooks on the pandemic, they were privately giving dire warnings to wealthy investors behind closed doors, triggering sell offs.",0.7341153144836426,85.0,true,85,1.0
HIGH_CONFIDENCE_POSITIVE,09e245fb-44bd-47e8-8d68-bb36720676e9,Biden raised 54.4% more money than Trump,0.7313050746917724,80.0,true,77,10.0
HIGH_CONFIDENCE_POSITIVE,3d61ed52-5769-4798-a5df-c9a8b13244b6,"Joe Biden was asked about emails regarding his meeting with Burisma officials who had bribed his son Hunter Biden for access, and he did not deny the allegations and refused to answer the question.",0.7583340525627136,85.0,true,71,0.0
HIGH_CONFIDENCE_POSITIVE,9a9c0e37-34c9-4f5d-a742-8ae3e08663e6,Former DHS Chief of Staff accuses Trump of helping to crowdsource domestic terrorism for refusing to denounce QAnon,0.6741919040679931,85.0,true,46,3.0
HIGH_CONFIDENCE_POSITIVE,2fb1cd3f-7429-4b62-870c-5076347b313d,Mike Lindell's company made masks early when science was the norm but stopped when Trump said they weren't politically needed.,0.7579478740692139,85.0,true,44,3.0
HIGH_CONFIDENCE_POSITIVE,e571e075-7ec1-463b-8d00-23d6f53ce07b,टीवी व्यूअरशिप रेटिंग में बिडेन ने डोनाल्ड ट्रंप को पीछे छोड़ा,0.7031545639038086,80.0,true,44,6.0
HIGH_CONFIDENCE_POSITIVE,ee36ae58-0364-49ea-bf8e-88c7f32a6d72,"letting 224,252+ Americans die could end up sending Donald Trump to prison",0.6983761429786681,85.0,true,43,0.0
NEGATIVE_RECOMMENDATION,9fafdaf5-0765-4aa1-b238-a7e5463140a0,"",0.43095396757125853,100.0,true,9105,38.0
NEGATIVE_RECOMMENDATION,8518c6af-71d2-47ec-a3d2-598dc5d8c559,Trump is a danger to our democracy.,0.2505593627691269,85.0,true,695,5.0
